Questions,Answers,Cleaned_Questions,Cleaned_Answers
How can I take care of my physical health?,"Taking care of your physical health is also good for your mental health. It's more important than ever to keep yourself healthy. 
 Try to eat as well as you can. It may be easier to reach for unhealthier comfort foods and snacks while you spend more time at home, but try to keep a balanced approach. When you stock up on groceries, don’t ignore fresh fruit and vegetables—we still have everything we need to prepare food. Now that we're advised to limit the amount of time we spend in public spaces like grocery stores, this is a great time to try out new fruits and vegetables that keep at home for longer periods of time. 
 If it's safer for you to stay home or you are in self-isolation, reach out for help. Many grocery stores and meal prep services offer safe, no-contact delivery. You can also ask family or friends to bring you groceries, or look for local COVID-19 support groups on social media. It's safest if others leave food and other supplies outside of your door to avoid spreading the virus. 
 Exercise is an important part of mental health and well-being, stress management, and health sleep. However, it's something that many people give up when they start to feel stressed or overwhelmed. 
 If it's safe for you to do so, spend time outside. You should still avoid busy areas or groups and stay at least two metres away from others, but there is no reason to avoid walks, runs, or other safe outdoor activities. (Note that some municipalities, BC Parks, and Parks Canada have restricted some outdoor spaces to reduce crowds, so check the status of your local parks or trails and respect closures—they're just keeping everyone safe.) 
 If you prefer to exercise indoors, you can also find many different exercises classes online. You can try yoga, follow a barre class, work on your cardio, pick up a new dumbbell routine, and keep up with Crossfit WODs from the comfort of your living room. Look for no-equipment exercise routines or classes if you don't already have equipment. 
 Poor sleep can make even simple problems feel a lot worse than they really are. Poor sleep can affect your mood, your outlook, and your patience. Unfortunately, stress and anxiety can really take a toll on your sleep. If you're having a hard time sleeping, be proactive and practice healthy sleep habits. For more, check out Wellness Module 6: Getting a Good Night's Sleep at www.heretohelp.bc.ca/wellness-module/wellness-module-6-getting-a-good-nights-sleep. 
 If you have other health problems like a chronic illness, check in with your doctor or health care team to see if you need to take any additional measures or precautions. Remember to plan ahead and do what you can to keep prescription or over-the-counter medications, medical supplies, supplements, or other health needs on hand.",take care physical health,taking care physical health also good mental health important ever keep healthy try eat well may easier reach unhealthier comfort food snack spend time home try keep balanced approach stock grocery dont ignore fresh fruit vegetableswe still everything need prepare food advised limit amount time spend public space like grocery store great time try new fruit vegetable keep home longer period time safer stay home selfisolation reach help many grocery store meal prep service offer safe nocontact delivery also ask family friend bring grocery look local covid support group social medium safest others leave food supply outside door avoid spreading virus exercise important part mental health wellbeing stress management health sleep however something many people give start feel stressed overwhelmed safe spend time outside still avoid busy area group stay least two metre away others reason avoid walk run safe outdoor activity note municipality bc park park canada restricted outdoor space reduce crowd check status local park trail respect closurestheyre keeping everyone safe prefer exercise indoors also find many different exercise class online try yoga follow barre class work cardio pick new dumbbell routine keep crossfit wods comfort living room look noequipment exercise routine class dont already equipment poor sleep make even simple problem feel lot worse really poor sleep affect mood outlook patience unfortunately stress anxiety really take toll sleep youre hard time sleeping proactive practice healthy sleep habit check wellness module getting good night sleep wwwheretohelpbccawellnessmodulewellnessmodulegettingagoodnightssleep health problem like chronic illness check doctor health care team see need take additional measure precaution remember plan ahead keep prescription overthecounter medication medical supply supplement health need hand
How can I use distraction to manage difficult thoughts or feelings?,"Distraction is a very valid tool to help you cope when everything feels overwhelming or when you feel lonely or isolated. 
 If you don't have a lot of energy or focus right now, try low-effort distractions like watching TV, browsing Youtube, listening to a podcast or audiobook, playing a game on your phone, reading an easy book or magazine, or working on a simple art project. 
 If you have more energy and focus, give yourself a to-do list every day: you can clean and take care of projects around your home, work on hobbies, connect with family or friends, read a new book and catch up on your favourite TV shows. You can find interesting opportunities to take online courses from universities all over the world through MOOCs and other online learning platforms, you can learn a new language online or through apps, and you can learn new hobbies and activities. As more people have to practice social distancing or self-isolation, people are finding creative ways to bring the world into their homes: you can tour museums and art galleries, Skype with a scientist, watch animals at zoos and nature preserves, and more. 
 When normal schedules are disrupted, it's easy to fall into unhelpful habits. Look for ways to keep yourself on track with healthier habits. You could set yourself goals every day or turn activities into a fun competition with friends or family—whoever takes the most language classes wins! 
 Many communities are using social media platforms like Facebook to organize support and help for neighbours. If you are healthy and it's safe to do so, you can sign up to walk dogs, pick up groceries and household supplies, and help others who can't go out at the moment. This can be a great way to make new connections in your area, and helping others is good for your own mental health. Just be sure to follow good hygiene practices and physical distancing—your own health is important.",use distraction manage difficult thought feeling,distraction valid tool help cope everything feel overwhelming feel lonely isolated dont lot energy focus right try loweffort distraction like watching tv browsing youtube listening podcast audiobook playing game phone reading easy book magazine working simple art project energy focus give todo list every day clean take care project around home work hobby connect family friend read new book catch favourite tv show find interesting opportunity take online course university world moocs online learning platform learn new language online apps learn new hobby activity people practice social distancing selfisolation people finding creative way bring world home tour museum art gallery skype scientist watch animal zoo nature preserve normal schedule disrupted easy fall unhelpful habit look way keep track healthier habit could set goal every day turn activity fun competition friend familywhoever take language class win many community using social medium platform like facebook organize support help neighbour healthy safe sign walk dog pick grocery household supply help others cant go moment great way make new connection area helping others good mental health sure follow good hygiene practice physical distancingyour health important
How can I reframe the situation and find more balanced perspectives?,"How you think about something impacts your feelings and your behaviours. 
 When we feel stressed out, angry, or fearful, it's hard to look at the situation realistically and see all of the options we have. (Remember: we all control our own actions and reactions, no matter what's going on in the world. We can call do something about this pandemic.) 
 People often overestimate the negative parts—their own feelings, their own abilities to manage a difficult situation, or the situation itself—and underestimate positive parts—their own abilities to care for themselves and loved ones, their support networks, and opportunities. 
 How does the thought ""We're never going to make it through this!"" make you feel? It likely doesn't feel good—and it isn't even true. 
 Challenging negative, unhelpful thoughts can improve your mood, validate your ability to get through this, and help you see new options or opportunities to stay well. 
 Stop and notice thoughts that come up. How do they make you feel? Do your thoughts seem realistic if you look at the situation more objectively? How can you reframe the thought to make it more productive or hopeful? Can you find any positive aspects or think of new ways to approach the situation? 
 Here are a few example: 
 ""I'm so mad that my event was cancelled! This sucks!"" 
 ""I know this is the safer option for everyone. When it's rescheduled, I'll enjoy it more because I won't have to worry about getting sick or spreading the illness."" 
 ""I hate spending so much time at home. This is so boring."" 
 ""I'm doing my part to keep my neighbours safe. It's worth it because it keeps people healthy."" 
 ""I'm having a hard time getting used to my new schedule. This is so frustrating."" 
 ""I'll get used to this soon, just like I adapted the last time I had to change my schedule. Now that I'm home more, I'll have more time to finish the projects I haven't touched in months and I'm excited to see the end results. 
 ""I'm really scared and I don't know what to do. I feel so overwhelmed right now."" 
 ""It makes sense that I feel scared—people are getting sick and we don't know when things will go back to normal. But there are a lot of things I can do to keep healthy, and I'm going to do some research so I can do my best. When I focus on the things I can do, everything feels more manageable."" 
 ""We're going to be stuck inside forever. I'm already sick of this."" 
 ""I understand that it will take some time to manage COVID-19, and I trust that health care professionals and scientists are working as fast as they can. I know this will end eventually and life will go back to normal."" 
 The goal is not to ignore the bad or uncomfortable parts of the situation or deny that there's a problem. Instead, this exercise can help you understand the situation more realistically and see the parts that you can control right now.",reframe situation find balanced perspective,think something impact feeling behaviour feel stressed angry fearful hard look situation realistically see option remember control action reaction matter whats going world call something pandemic people often overestimate negative partstheir feeling ability manage difficult situation situation itselfand underestimate positive partstheir ability care loved one support network opportunity thought never going make make feel likely doesnt feel goodand isnt even true challenging negative unhelpful thought improve mood validate ability get help see new option opportunity stay well stop notice thought come make feel thought seem realistic look situation objectively reframe thought make productive hopeful find positive aspect think new way approach situation example im mad event cancelled suck know safer option everyone rescheduled ill enjoy wont worry getting sick spreading illness hate spending much time home boring im part keep neighbour safe worth keep people healthy im hard time getting used new schedule frustrating ill get used soon like adapted last time change schedule im home ill time finish project havent touched month im excited see end result im really scared dont know feel overwhelmed right make sense feel scaredpeople getting sick dont know thing go back normal lot thing keep healthy im going research best focus thing everything feel manageable going stuck inside forever im already sick understand take time manage covid trust health care professional scientist working fast know end eventually life go back normal goal ignore bad uncomfortable part situation deny there problem instead exercise help understand situation realistically see part control right
How can I challenge thinking traps?,"What you tell yourself about a situation affects how you feel and what you do. Sometimes your interpretation of a situation can get distorted and you only focus on the negative aspects—this is normal and expected. However, when you interpret situations too negatively, you might feel worse. You're also more likely to respond to the situation in ways that are unhelpful in the long term. 
 These automatic thoughts and assumptions are sometimes called thinking traps. Everyone falls into unbalanced thinking traps from time to time. You're most likely to distort your interpretation of things when you already feel sad, angry, anxious, depressed or stressed. You're also more vulnerable to thinking traps when you're not taking good care of yourself, like when you're not eating or sleeping well. 
 Here are some common thinking traps: 
 Thinking that a negative situation is part of a constant cycle of bad things that happen. People who overgeneralize often use words like ""always"" or ""never."" 
 I was really looking forward to that concert, and now it’s cancelled. This always happens to me! I never get to do fun things! 
 Seeing things as only right or wrong, good or bad, perfect or terrible. People who think in black and white terms see a small mistake as a total failure. 
 I wanted to eat healthier, but I ate too many snacks today. This plan is a total failure! 
 Saying only negative things about yourself or other people. 
 I made a mistake. I'm stupid! My boss told me that I made a mistake. My boss is a total jerk! 
 Predicting that something bad will happen without any evidence. 
 I've been doing what I can to stay home and reduce the risks, but I just know that I'm going to get sick. 
 Focusing only on the negative parts of a situation and ignoring anything good or positive. 
 I know there's a lot I can do at home, but I'm just so sick of this. Everything is terrible. 
 Believing that bad feelings or emotions reflect the situation. 
 I feel scared and overwhelmed right now, so that must mean everything is very bad and will never get better. 
 Telling yourself how you ""should"" or ""must"" act. 
 I should be able to handle this without getting upset and crying! 
 Here are helpful strategies to challenge common thinking traps. Many people find their mood and confidence improve after working through these skills. You can also find worksheets to help you go through each step at www.heretohelp.bc.ca. 
 Don't try to get out of a thinking trap by just telling yourself to stop thinking that way. 
 This doesn't let you look at the evidence and challenge the thinking trap. When you try and push upsetting thoughts away, they are more likely to keep popping back into your mind. 
 Ask yourself the following questions when something upsetting happens: 
 What is the situation? What actually happened? Only include facts that everyone would agree on. 
 What are your thoughts? What are you telling yourself? 
 What are your emotions? How do you feel? 
 What are your behaviours? How are you reacting? What are you doing to cope? 
 Take a look at the thoughts you've listed. Are you using any of the thinking traps and falling into distorted thinking patterns? It's common to fall into more than one thinking trap. Go back to the thinking trap list and identify which ones apply to you and your current situation. 
 The best way to break a thinking trap is to look at your thoughts like a scientist and consider the hard facts. Use the evidence you've collected to challenge your thinking traps. Here are some ways to do that: 
 Try to find evidence against the thought. If you make a mistake at work, you might automatically think, ""I can't do anything right! I must be a terrible employee!"" When this thought comes up, you might challenge it by asking, ""Is there any evidence to support this thought? Is there any evidence to disprove this thought?"" You might quickly realize that your boss has complimented your work recently, which doesn't support the idea that you're a bad employee. 
 Ask yourself, ""Would I judge other people if they did the same thing? Am I being harder on myself than I am on other people?"" This is a great method for challenging thinking traps that involve harsh self-criticism. 
 Find out whether other people you trust agree with your thoughts. For example, you might have trouble with one of your kids and think, ""Good parents wouldn't have this kind of problem."" To challenge this thought, you can ask other parents if they've ever had any problems with their kids. 
 Test your beliefs in person. For example, if you think that your friends don't care about you, call a few friends and make plans to start a regular video call. If you assumed that they will all say no, you may be pleasantly surprised to hear that they do want to see you. 
 Once you have worked through some challenges, try to think of a more balanced thought to replace the old thinking traps. Let's use the following example: 
 I feel sad and overwhelmed. I'm having a hard time figuring out what to do. 
 I'm the worst! I should be able to handle this! 
 Labeling 
 'Should' statements 
 Examine the evidence: I have a lot of challenges right now. I'm worried about my family and everything seems to change so quickly. I've successfully handled complicated situations in the past, so I know I can do this. 
 It's okay to feel upset right now—there's a lot going on. I'm going to think about how I got through past situations and see what worked for me. I'm trying to do a lot on my own, so I'm going to talk to my family so we can make a plan and work together. 
 Try the Healthy Thinking Worksheet at www.heretohelp.bc.ca 
 Check out Anxiety Canada's articles Helpful Thinking and Thinking Traps 
 This page is adapted from Wellness Module 8: Healthy Thinking at www.heretohelp.bc.ca/wellness-module/wellness-module-8-healthy-thinking.",challenge thinking trap,tell situation affect feel sometimes interpretation situation get distorted focus negative aspectsthis normal expected however interpret situation negatively might feel worse youre also likely respond situation way unhelpful long term automatic thought assumption sometimes called thinking trap everyone fall unbalanced thinking trap time time youre likely distort interpretation thing already feel sad angry anxious depressed stressed youre also vulnerable thinking trap youre taking good care like youre eating sleeping well common thinking trap thinking negative situation part constant cycle bad thing happen people overgeneralize often use word like always never really looking forward concert cancelled always happens never get fun thing seeing thing right wrong good bad perfect terrible people think black white term see small mistake total failure wanted eat healthier ate many snack today plan total failure saying negative thing people made mistake im stupid bos told made mistake bos total jerk predicting something bad happen without evidence ive stay home reduce risk know im going get sick focusing negative part situation ignoring anything good positive know there lot home im sick everything terrible believing bad feeling emotion reflect situation feel scared overwhelmed right must mean everything bad never get better telling must act able handle without getting upset cry helpful strategy challenge common thinking trap many people find mood confidence improve working skill also find worksheet help go step wwwheretohelpbcca dont try get thinking trap telling stop thinking way doesnt let look evidence challenge thinking trap try push upsetting thought away likely keep popping back mind ask following question something upsetting happens situation actually happened include fact everyone would agree thought telling emotion feel behaviour reacting cope take look thought youve listed using thinking trap falling distorted thinking pattern common fall one thinking trap go back thinking trap list identify one apply current situation best way break thinking trap look thought like scientist consider hard fact use evidence youve collected challenge thinking trap way try find evidence thought make mistake work might automatically think cant anything right must terrible employee thought come might challenge asking evidence support thought evidence disprove thought might quickly realize bos complimented work recently doesnt support idea youre bad employee ask would judge people thing harder people great method challenging thinking trap involve harsh selfcriticism find whether people trust agree thought example might trouble one kid think good parent wouldnt kind problem challenge thought ask parent theyve ever problem kid test belief person example think friend dont care call friend make plan start regular video call assumed say may pleasantly surprised hear want see worked challenge try think balanced thought replace old thinking trap let use following example feel sad overwhelmed im hard time figuring im worst able handle labeling statement examine evidence lot challenge right im worried family everything seems change quickly ive successfully handled complicated situation past know okay feel upset right nowtheres lot going im going think got past situation see worked im trying lot im going talk family make plan work together try healthy thinking worksheet wwwheretohelpbcca check anxiety canada article helpful thinking thinking trap page adapted wellness module healthy thinking wwwheretohelpbccawellnessmodulewellnessmodulehealthythinking
How can I manage grief?,"While a lot of people think of grief in terms of losing a person or pet, grief can come up whenever you lose something important. This includes: 
 Losing security, like losing your job or wondering how long you'll be able to pay rent 
 Losing stability or routine, like finding yourself working from home or navigating childcare closures 
 Losing your sense of safety, like fearing you or someone you love might end up with COVID-19 
 Losing your social relationships, like missing time with family and friends now that everyone must practice physical distancing or self-isolation 
 Losing hope for the future, like feeling that life will never go back to normal 
 Losing important goals, like finding your classes, sports competitions, or performances are cancelled for the foreseeable future 
 Losing important milestone celebrations like graduation ceremonies and weddings 
 Grief bring up complicated feelings. You might feel sad, angry, frustrated, fearful, or hopeless. You may have a hard time eating or sleeping, or feel very tense. You may feel overwhelmed and tired. You may wonder if life will ever feel normal again. 
 Everyone grieves in their own way and their own time. Here are some strategies to try as you navigate your own journey. 
 Acknowledge and express your feelings in a healthy way. Give your feelings a name and find healthy ways to express them, such as by talking with a friend, writing in a journal, or making art. 
 Give yourself as much time as you need. Grief follows its own schedule. Give yourself permission to use this time to take care of your well-being. Let go of expectations, tasks, or other obligations that can wait. 
 Seek support. Grief can feel very isolating, even though a lot of people are experiencing some sort of loss right now. Reach out to friends or family and share your feelings. Look for ways to help and support each other. 
 Take care of yourself. Ignoring health and well-being can make difficult experiences feel worse. Eat as well as you can, try to get enough sleep, spend time outside if it's safe for you to do so, and exercise regularly. Think about self-care activities or strategies that have helped you cope with challenging situations in the past and make time for those activities. 
 Know that feelings of grief will pass. Grief may feel intense at times, but those feelings will become more manageable over time and will eventually pass. 
 Connect with a mental health professional if you're having a hard time. If you're having a hard time getting through the day, coping in unhealthy ways, or having a hard time managing difficult thoughts or feelings, it's a good idea to seek help from a professional like a psychologist or counsellor—many now offer online or phone appointments. To find help: 
 For everyone 
 BC Psychological Association: Find a Registered Psychologist at www.psychologists.bc.ca/find_psychologist 
 BC Association of Clinical Counsellors: Find a Registered Clinical Counsellor at bc-counsellors.org 
 BC Mental Health Support Line: call 310-6789 (no area code) for to learn about services in your area or just to talk with someone right now 
 For young people 
 Kids Help Phone: Talk to a counsellor at 1-800-668-6868 or chat at kidshelpphone.ca (available 24/7) 
 Foundry: Contact your local Foundry office at foundrybc.ca for Foundy Virtual and information about local resources (for youth ages 12-24) 
 Youth in BC: Chat with a crisis line responder at youthinbc.com (available every day from noon – 1:00am) 
 That Discomfort You're Feeling Is Grief in Harvard Business Review at hbr.org/2020/03/that-discomfort-youre-feeling-is-grief 
 Grieving from the Canadian Mental Health Association at cmha.ca/documents/grieving 
 Coping with Grief and Loss from Mind Your Mind at mindyourmind.ca/wellness/coping-grief-and-loss",manage grief,lot people think grief term losing person pet grief come whenever lose something important includes losing security like losing job wondering long youll able pay rent losing stability routine like finding working home navigating childcare closure losing sense safety like fearing someone love might end covid losing social relationship like missing time family friend everyone must practice physical distancing selfisolation losing hope future like feeling life never go back normal losing important goal like finding class sport competition performance cancelled foreseeable future losing important milestone celebration like graduation ceremony wedding grief bring complicated feeling might feel sad angry frustrated fearful hopeless may hard time eating sleeping feel tense may feel overwhelmed tired may wonder life ever feel normal everyone grief way time strategy try navigate journey acknowledge express feeling healthy way give feeling name find healthy way express talking friend writing journal making art give much time need grief follows schedule give permission use time take care wellbeing let go expectation task obligation wait seek support grief feel isolating even though lot people experiencing sort loss right reach friend family share feeling look way help support take care ignoring health wellbeing make difficult experience feel worse eat well try get enough sleep spend time outside safe exercise regularly think selfcare activity strategy helped cope challenging situation past make time activity know feeling grief pas grief may feel intense time feeling become manageable time eventually pas connect mental health professional youre hard time youre hard time getting day coping unhealthy way hard time managing difficult thought feeling good idea seek help professional like psychologist counsellormany offer online phone appointment find help everyone bc psychological association find registered psychologist wwwpsychologistsbccafindpsychologist bc association clinical counsellor find registered clinical counsellor bccounsellorsorg bc mental health support line call area code learn service area talk someone right young people kid help phone talk counsellor chat kidshelpphoneca available foundry contact local foundry office foundrybcca foundy virtual information local resource youth age youth bc chat crisis line responder youthinbccom available every day noon discomfort youre feeling grief harvard business review hbrorgthatdiscomfortyourefeelingisgrief grieving canadian mental health association cmhacadocumentsgrieving coping grief loss mind mind mindyourmindcawellnesscopinggriefandloss
"How can I find a doctor, psychiatrist, psychologist, or counsellor?","To find a family doctor (general physician), visit the College of Physicians and Surgeons of BC to use their Find a Physician tool. You can also see a family doctor at a local walk-in clinic, though it’s helpful to find a regular doctor if you have ongoing care needs. You can also find a psychiatrist through the College of Physicians and Surgeons of BC. Be aware that you almost always need a doctor’s referral to see a psychiatrist. 
 You can find a registered psychologist through the BC Psychological Association and the College of Psychologists of BC. 
 To find a clinical counsellor, visit the BC Association of Clinical Counsellors. 
 For more on the differences between these service providers, see the article The Right Path for You: Finding your way to and through services in BC from the Finding the Right Help – Navigating the System issue of Visions Journal.",find doctor psychiatrist psychologist counsellor,find family doctor general physician visit college physician surgeon bc use find physician tool also see family doctor local walkin clinic though helpful find regular doctor ongoing care need also find psychiatrist college physician surgeon bc aware almost always need doctor referral see psychiatrist find registered psychologist bc psychological association college psychologist bc find clinical counsellor visit bc association clinical counsellor difference service provider see article right path finding way service bc finding right help navigating system issue vision journal
How can I see a psychiatrist?,"A psychiatrist is a specialist doctor. In BC, you need to ask your doctor for a referral. If you don't see a regular family doctor, you can ask any doctor at a walk-in clinic for a referral. 
 In some cases, you may be able to ""self-refer"" or make an appointment with a mental health program yourself, but that may not get you access to a psychiatrist. Contact your local mental health centre to see what's available in your area. You can search for mental health centres at www.gov.bc.ca/mentalhealth. If you need help finding your local mental health centre, call HealthlinkBC at 811 or visit www.healthlinkbc.ca and use the Find Health Service tool.",see psychiatrist,psychiatrist specialist doctor bc need ask doctor referral dont see regular family doctor ask doctor walkin clinic referral case may able selfrefer make appointment mental health program may get access psychiatrist contact local mental health centre see whats available area search mental health centre wwwgovbccamentalhealth need help finding local mental health centre call healthlinkbc visit wwwhealthlinkbcca use find health service tool
How can I see a psychologist?,"To find a Registered Psychologist, visit the BC Psychological Association. You can make an appointment on your own. You don’t need a doctor’s referral to see a psychologist. 
 Registered Psychologists are not usually covered by MSP, so you’ll have to pay for the cost of the appointment yourself. Workplace extended health benefits or Employee (Family) Assistance Programs may cover some costs. Some psychologists offer a sliding scale based on your income. If you’re facing financial hardship, you can ask when you make the appointment. 
 If you want to learn more about lower-cost options to access counselling (though not usually by Registered Psychologists), email us with your location and our information and referrals team can see what options there may be in your community. 
 If you see a Registered Psychologist through a public mental health centre like a mental health team or outpatient psychiatry program, it will still be covered by MSP. Talk to your care provider if you have questions or want to learn more.",see psychologist,find registered psychologist visit bc psychological association make appointment dont need doctor referral see psychologist registered psychologist usually covered msp youll pay cost appointment workplace extended health benefit employee family assistance program may cover cost psychologist offer sliding scale based income youre facing financial hardship ask make appointment want learn lowercost option access counselling though usually registered psychologist email u location information referral team see option may community see registered psychologist public mental health centre like mental health team outpatient psychiatry program still covered msp talk care provider question want learn
How can I see a counsellor?,"You can find directories of counsellors through their professional organizations. 
 Registered Clinical Counsellors: visit the BC Association of Clinical Counsellors 
 Canadian Certified Counsellors: visit the Canadian Counselling and Psychotherapy Association 
 Canadian Professional Counsellors: visit the Canadian Professional Counsellors Association 
 For more specialized counselling professionals, such as Marriage and Family Therapists, see the Federation of Associations for Counselling Therapists in British Columbia. 
 You can make an appointment on your own. You don’t need a doctor’s referral to see a counsellor. 
 Counsellors are not usually covered by MSP, so you’ll have to pay for the cost of the appointment yourself. Workplace extended health benefits, Employee (Family) Assistance Programs, or private health insurance plans may help cover some costs. Some counsellors may offer a sliding scale based on your income. If you’re facing financial hardship, you can ask when you make the appointment. 
 Learn more about lower-cost options to access counselling or email us with your location and our information and referrals team can see what options there may be in your community. 
 If you see a counsellor through a public mental health centre like a mental health team or outpatient psychiatry program, it will still be covered by MSP. Talk to your care provider if you have questions or want to learn more. 
 Indigenous community members can access some counselling services locally or through the First Nations Health Authority. Contact your local Band or local Friendship Centre, or contact the First Nations Health Authority.",see counsellor,find directory counsellor professional organization registered clinical counsellor visit bc association clinical counsellor canadian certified counsellor visit canadian counselling psychotherapy association canadian professional counsellor visit canadian professional counsellor association specialized counselling professional marriage family therapist see federation association counselling therapist british columbia make appointment dont need doctor referral see counsellor counsellor usually covered msp youll pay cost appointment workplace extended health benefit employee family assistance program private health insurance plan may help cover cost counsellor may offer sliding scale based income youre facing financial hardship ask make appointment learn lowercost option access counselling email u location information referral team see option may community see counsellor public mental health centre like mental health team outpatient psychiatry program still covered msp talk care provider question want learn indigenous community member access counselling service locally first nation health authority contact local band local friendship centre contact first nation health authority
How can I find a support group?,"Support groups are a way for people with a common experience to help each other and learn from each other. There are support groups for people with any experience of mental illness, support groups for people with a specific diagnosis, support groups for family members and friends, and more. 
 Support groups are offered by community organizations, mental health service providers, schools, campuses, and support agencies. Here are some general resources to help you find a mental health or substance use related support group in BC: 
 Talk to your mental health care provider. They might be able to make recommendations. 
 The Mood Disorders Association of BC offers a network of peer support groups around the province for people who experience mental illnesses like mood disorders or post-traumatic stress disorder. They also have groups for family and friends. Groups are drop-in. 
 Many Canadian Mental Health Association branches offer support services, including support groups. If your local branch doesn’t have their own program, they can recommend other services in your community. 
 The BC Schizophrenia Society maintains a directory of support groups and other regular events for family members of people with a mental illness. 
 For groups related to alcohol or drug use, call the Alcohol and Drug Information Referral Service at 1-800-663-1441 or 604-660-9382 in the Lower Mainland. 
 For groups in the Lower Mainland, search the Red Book Online. 
 If you are at school or on campus, talk to a school counsellor or your campus’ health and wellness office. 
 For online support, see some suggestions at www.heretohelp.bc.ca/discuss. This can be particularly useful if you don’t have a group in your community or have trouble getting to an in-person group. 
 In order to benefit the most from a support group, you need to feel safe enough to share your experiences and thoughts, and you need to feel comfortable supporting others. It can be helpful to contact the group facilitator or organizer ahead of time to see if a particular group might be a good fit for you. We have a checklist to help you evaluate support groups—including when it might be time to leave one. 
 Sometimes a group just doesn’t work for you, and that’s okay. If you feel comfortable, you can try talking to the facilitator to see if they can recommend another group that you can try.",find support group,support group way people common experience help learn support group people experience mental illness support group people specific diagnosis support group family member friend support group offered community organization mental health service provider school campus support agency general resource help find mental health substance use related support group bc talk mental health care provider might able make recommendation mood disorder association bc offer network peer support group around province people experience mental illness like mood disorder posttraumatic stress disorder also group family friend group dropin many canadian mental health association branch offer support service including support group local branch doesnt program recommend service community bc schizophrenia society maintains directory support group regular event family member people mental illness group related alcohol drug use call alcohol drug information referral service lower mainland group lower mainland search red book online school campus talk school counsellor campus health wellness office online support see suggestion wwwheretohelpbccadiscuss particularly useful dont group community trouble getting inperson group order benefit support group need feel safe enough share experience thought need feel comfortable supporting others helpful contact group facilitator organizer ahead time see particular group might good fit checklist help evaluate support groupsincluding might time leave one sometimes group doesnt work thats okay feel comfortable try talking facilitator see recommend another group try
Where can I find child and youth mental health services?,"To find help for a child or youth, you can: 
 Encourage your child to talk to a teacher or school counsellor 
 Talk to your family doctor or pediatrician, or go to a walk-in clinic 
 Contact your local Child & Youth Mental Health office on one of their walk-in days 
 Use Kelty Mental Health’s Help Finder Tool to find specific services and providers 
 Contact the Institute of Families for Child and Youth Mental Health’s Youth-in-Residence or Parent-in-Residence for guidance, information, and support. Youth-in-Residence and Parents-in-Residence are located around the province. If you don’t have one in your community, a Parent- or Youth-in-Residence at the Kelty Mental Health Resource Centre can help you by phone or email 
 Visit www.familysmart.ca for information and resources on child and youth mental health 
 For young people ages 12-24, visit foundrybc.ca to see if there is a Foundry Centre in your area. Foundry offers easy-to-access mental health care, physical health care, social services, and support out of one office.",find child youth mental health service,find help child youth encourage child talk teacher school counsellor talk family doctor pediatrician go walkin clinic contact local child youth mental health office one walkin day use kelty mental health help finder tool find specific service provider contact institute family child youth mental health youthinresidence parentinresidence guidance information support youthinresidence parentsinresidence located around province dont one community parent youthinresidence kelty mental health resource centre help phone email visit wwwfamilysmartca information resource child youth mental health young people age visit foundrybcca see foundry centre area foundry offer easytoaccess mental health care physical health care social service support one office
Where can older adults find help for mental health concerns?,"Mental health concerns are a serious concern at any age, and everyone deserves help and support. If you’re concerned about your mental health, you can: 
 Talk to your family doctor or go to a walk-in clinic 
 Call the Mental Health Support Line at 310-6789 (no area code) for information about services in your area 
 Find your local mental health centre or program at www.gov.bc.ca/mentalhealth (you may need a doctor’s referral to access some programs) 
 Find your local Canadian Mental Health Association branch at www.cmha.bc.ca and ask for information about local services 
 Contact a local senior’s support organization or group and ask for advice. You can search for organizations at www.bc211.ca 
 For general information about senior’s mental health: 
 Find resources from the Canadian Coalition for Seniors' Mental Health at www.ccsmh.ca 
 Find info sheets in the Seniors and Depression Series at www.heretohelp.bc.ca/factsheet/seniors-and-depression-series 
 If you are concerned about a loved one: 
 Be honest about your concerns, like changes you’ve noticed or problems that have come up 
 Give your loved one a chance to talk about their perspectives. They may have a different take on the problem or have different priorities in their health care 
 Be patient—it will probably take more than one conversation 
 Whenever possible, aim for cooperation. Focus on finding an action or solution that everyone can agree on 
 Remember that asking for help is hard for many of us, and it can be even harder as people’s roles and abilities change. If your loved one isn’t willing to talk about their experiences with you right away, offer alternatives like the BC Mental Health Support Line (310-6789—no area code needed), the Seniors Distress Line (604-872-1234) or a local seniors support organization (search for organizations at www.bc211.ca) 
 Seek support to manage your expectations and your own well-being. It can be very stressful to see a loved one experience health problems. But adults who can care for themselves and aren’t at risk of harm are free to make their own choices—and that includes refusing help",older adult find help mental health concern,mental health concern serious concern age everyone deserves help support youre concerned mental health talk family doctor go walkin clinic call mental health support line area code information service area find local mental health centre program wwwgovbccamentalhealth may need doctor referral access program find local canadian mental health association branch wwwcmhabcca ask information local service contact local senior support organization group ask advice search organization wwwbcca general information senior mental health find resource canadian coalition senior mental health wwwccsmhca find info sheet senior depression series wwwheretohelpbccafactsheetseniorsanddepressionseries concerned loved one honest concern like change youve noticed problem come give loved one chance talk perspective may different take problem different priority health care patientit probably take one conversation whenever possible aim cooperation focus finding action solution everyone agree remember asking help hard many u even harder people role ability change loved one isnt willing talk experience right away offer alternative like bc mental health support line area code needed senior distress line local senior support organization search organization wwwbcca seek support manage expectation wellbeing stressful see loved one experience health problem adult care arent risk harm free make choicesand includes refusing help
