Cleaned_Questions,Cleaned_Answers,Question_Word_Count,Answer_Word_Count,Contains_Mental_Health_Topic
pay mental health care,mental health service provided governmentrun public system like service receive local mental health centre team outpatient psychiatry hospital often completely covered msp long eligible msp wont pay see someone mental health service arent covered msp psychotherapy counselling private practitioner cover cost secret service expensive may able offset cost extended health coverage immediate family member workplace benefit employee family assistance program immediate family member workplace benefit student school campus mental health service indigenous community member service offered band friendship centre indigenous support organization first nation health authority cultural faith community may offer mental health service may able claim larger cost related treatment mental health condition income tax return health expense provider offer lowercost service sliding scale usually based income email u location information referral team help look option area cost barrier health care talk doctor see service public health system covered msp may good fit also called mental health support line area code information local mental health service,4,157,False
apply income assistance,provincial income assistance three income level basic assistance also called welfare person disability benefit pwd person persistent multiple barrier employment benefit ppmb administered ministry social development social inclusion depending situation mental illness may considered pwd ppmb addiction may included ppmb application pwd benefit people disability prevents working going daily activity find information ministry read fact sheet disability alliance bc information application process ppmb benefit people experience multiple barrier work find information ministry read fact sheet disability alliance bc information application process disability alliance bc formerly bc coalition people disability help navigate pwd ppmb program well canada pension plan benefit indepth information preparing application working application process handling appeal povnet also connect advocate help application process provincial pwd benefit advocacy tip see getting social assistance navigating welfare system read article income issue vision journal,3,133,False
msp,msp stand medical service plan health insurance program managed government people live british columbia canada msp pay thing like doctor appointment appointment specialist doctor like psychiatrist hospital stay need treat medical problem everyone life bc must enroll msp pay monthly fee based income workplace cover cost msp fee learn msp question applying managing msp coverage call health insurance bc lower mainland rest bc open monday friday pm also get help person local service bc office new bc wait three month registering msp bring care card bc service card go medical appointment use pharmacy,1,93,False
referral,referral mean someone recommends another service health care usually mean request doctor see specialist like psychiatrist access specialist bc first need referral may need meet certain criterion like specific diagnosis specific symptom access specialist doctor tell expect doctor made referral specialist office contact appointment time make sure doctor office current contact information specialist reach process whether see family doctor visit walkin clinic mental health program bc require doctor referral good news people looking help selfreferral mean ask see someone evaluated see meet criterion receive service contact local health authority learn program area,1,92,False
whats difference psychiatrist registered psychologist,psychiatrist medical doctor extra training mental health choose prescribe medication use psychotherapy talk therapy approach like cognitivebehavioural therapy treat mental health problem many psychiatrist work hospital clinic health centre private office specialist doctor almost always need another doctor referral see psychiatrist fee covered msp valid bc service carecard need pay see psychiatrist registered psychologist focus different talk therapy counselling approach treatment dont prescribe medication graduate degree psychology two different way access registered psychologist public system private system registered psychologist public system work hospital school may need doctor referral access program cost usually covered msp however people need access registered psychologist private system contact psychologist yourselfyou need referral cost covered msp may covered employee health plan registered psychologist fee charged hour vary offer lower fee people lower income youve probably noticed lot difference come pay different service professional educated practical difference work always clear come treatment care important part finding professional support goal really focused finetuning medication looking particular therapy approach professional philosophy care make sense like professional youre talking feel safe sharing experience ultimately relationship professional matter instead focusing designation look professional meet need expectation talk family doctor ask recommendation ask local mental health organization help find local branch provincial organization behind heretohelp ask community health centre outpatient psychiatry program mental health team suggestion list psychiatrist near search specialist college physician surgeon british columbia find physician tool remember first need referral doctor like family doctor list psychologist near search british columbia psychological association find registered psychologist tool also learn finding psychologist college psychologist british columbia,5,255,False
whats difference psychotherapy counselling,psychotherapy counselling lot common usually mean thing used describe professional use talkbased approach help someone recover mental illness mental health problem many different professional may provide counselling psychotherapy including registered psychologist registered clinical counsellor psychiatrist therapist counsellor family doctor psychiatric nurse faith leader useful talk someone problema lot people find simply talking friend family help feel better professional therapist counsellor offer training experience emotional distance since dont know use different theory listen support approach different problem pattern example psychotherapy called cognitivebehavioural therapy based theory learning skill change thinking action positively impact emotion wellbeing future thought behaviour therapist could help learn practice skill many psychotherapy good evidence effective different problem illness example include cognitivebehavioural therapy interpersonal therapy dialectical behaviour therapy solutionsfocused brief psychotherapy narrative therapy emotionfocused therapy general aspect therapy counselling matter approach choose expectation bring counselling session match understanding problem therapist understanding problem trust rapport therapist fact one research review found improvement seen client received active listening support counsellor called nondirective supportive therapy due simply relationship client therapist psychotherapy work professional choose match value also important youre looking professional always good idea ask member professional organization like listed next section,4,190,True
whats difference cbt dbt,cbt cognitivebehavioural therapy dbt dialectical behaviour therapy two form psychotherapy talk therapy work mental health professional learn challenge experience learn skill help manage challenge cognitivebehavioural therapy cbt teach thought feeling behaviour influence example believe people dont like thought might avoid social situation behaviour feel lonely feeling however cbt teach use relationship advantage positive change one factor changing thought behaviour lead positive change factor cbt approach proven research work many different mental health problem including depression anxiety disorder eating disorder substance use problem cbt structured shortterm goaloriented focused present start education around particular mental illness challenge illness challenge affect next youll learn practice skill strategy like problemsolving realistic thinking help make change thought feeling behaviour youll learn use new skill deal problem future dialectical behaviour therapy dbt based cbt greater focus emotional social aspect dbt developed help people cope extreme unstable emotion harmful behaviour dbt evidencebased approach help people regulate emotion started treatment borderline personality disorder current research show may help many different mental illness concern particularly selfharm key difference cbt dbt validation relationship dbt teach experience real teach accept regardless challenge difficult experience relationship also important dbtincluding relationship dbt practitioner may frequent checkins talk success problem treatment may include mix oneonone session group session addition cbt skill youll learn skill around managing emotion building relationship others coping well problem distress acceptance mindfulness many talk therapy take time effort enjoy benefit cbt dbt skill people master skill support cbt dbt therapist often find new skill strategy become second naturethey tool last lifetime,4,251,True
whats difference antidepressant,many different type antidepressant medication work different way antidepressant divided class based chemical messenger brain called neurotransmitter thought influence class may contain several different medication slightly different way working youll find common class example common medication first name generic name name bracket brand name ssri selective serotonin reuptake inhibitor fluoxetine prozac paroxetine paxil citalopram celexa escitalopram cipralex sertraline zoloft snris serotonin norepinephrine reuptake inhibitor venlafaxine effexor duloxetine cymbalta ndris norepinephrinedopamine reuptake inhibitor bupropion wellbutrin zyban nassas noradrenergic specific serotonergic antidepressant mirtazapine remeron also classed teca tetracyclic antidepressant sari serotonin antagonist reuptake inhibitor trazodone desyrel class antidepressant maoi triclycics much older side effect restriction usually prescribed newer antidepressant dont work medication lithium thyroid medication antipsychotic may also prescribed often combination antidepressant boost effect antidepressant used treat depressionthey may prescribed treat illness like anxiety disorder medical doctor like family doctor psychiatrist prescribe antidepressant doctor recommends consider antidepressant keep mind people try different option find right medication frustrating process especially feel unwell important find something work side effect benefit vary significantly different people difficult predict medication might work without trying first everyone responds differently important ongoing discussion health care team regarding medication bring problem concernsor even ask particular antidepressant work,3,197,False
received diagnosis dont think right,possible bring concern professional provided diagnosis way professional answer question better understand decision doesnt resolve situation followup appointment isnt possible ask second opinion second opinion assessment different professional give better understanding whats going second opinion common come major health decisionsyou wont hurt anyones feeling doctor try accommodate reasonable request second opinion talk family doctor go walkin clinic discus option get referral different program health professional needed get second opinion see healthlinkbcs factsheet wwwhealthlinkbcca general tip managing diagnosis mental illness working well health care professional see heretohelps managing mental illness series,5,90,False
prescribed antidepressant psychiatric medication dont think working,youre concerned medication important talk doctor psychiatrist prescribed medication take week really see improvement many antidepressant still good idea talk doctor expect talk doctor prescribed medication experience symptom side effect distressing want talk trusted professional common side effect call pharmacist reach pharmacist phone afterhours calling also best stop taking medication changing dose without first talking health care provider might tempting stop taking medication start feel better important follow doctor instruction case people allergic reaction medication reaction serious like rash case call pharmacist call reach help afterhours serious reaction like difficult breathing dizziness confusion call right away start new medication pharmacist give printout information like side effect sign allergic reaction long might take work information good information keep hand isnt always easy read pick medication ask pharmacist go information understand look particular antidepressant psychiatric medication isnt working many different option unfortunately finding right medication take trial error different people different experience medication often need try something see work doesnt work frustrating process especially want start feeling better important keep trying work doctor understand option many people feel intimidated talking health professional important share information understand whats going make good informed decision health care people also feel embarrassed talking symptom side effect like change sex drive digestion important information doctor know change sex drive digestion common concern find strategy including mood journal help work doctor health care provider working doctor toolkit,7,229,True
adult life seems ill wont find help,difficult adult child sibling parent friend coworker important person struggling behaving way causing harm tricky situationyou want help adult responsible care two important point think first diagnosing health condition especially symptomchecking easy online dangerous diagnosis still always best left professional look whole picture remember person care may different idea whats causing difficulty negative impact life second except rare case person treated need active player recovery continue treatment would health problem vast majority case cannot work entirely themand trying may damage relationship honest concern impact seeing worry listen point view work together find solution work everyone even mean compromise may want offer go appointment encourage online screening selftest involve someone else close may similarly concerned may influence encouraging notice change seek help may feeling frustrated helpless important get care support time especially youre close person youre worried serious situation bc mental health act allows someone held period time psychiatric assessment without consent risk harming others necessary situation get someone care need traumatic everyone involved bc mental health act see guide mental health act,7,172,False
im worried child teenager find help,hard figure youre concerned young person family many people start talking family doctor dont family doctor find doctor college physician surgeon bc also visit walkin clinic depending situation family doctor may offer everything need child need specialized service psychiatry service family doctor need make referral child many family doctor also recommend community service support community learn role family doctor info sheet expect family walkin clinic doctor child difficulty affect performance behaviour school school may involved child school counsellor talk service access school school counsellor also suggest community service see info sheet expect child school kelty mental health resource centre offer information resource peer support system navigation child youth family experiencing mental health substance use challenge help finder tool help navigate mental health system kelty mental health based bc childrens hospital vancouver support young people family across province institute family child youth mental health advocate healthy young people family support offer resource education event across bc canadian mental health association bc division offer confident parent thriving kid phonebased education support program help parent caregiver manage mild moderate behaviour problem child age program free requires doctor referral may also want check resource heretohelp child youth mental health substance use,6,197,False
someone care brain injury find information,brain injury isnt mental illness though someone experience brain injury may also experience mental health problem mental health problem may stem injury thought around injury like feeling loss anger frustration quality life change case mental health challenge may related brain injury good news mental health problem treatable even someone care experienced brain injury may helpful find service provider familiar brain injury mental health information support visit bc brain injury association also find local regional group organization bc brain injury association canada,6,81,False
someone love diagnosed depression help,naturally want help loved one isnt feeling well help may seem fairly obvious loved one experience physical health problem many people say theyre sure best help loved one experience mental illness like depression tip dont understand exactly someone else experiencing need recognize difficult experience try something like see experience symptom really painful im sorry hear youre feeling unwell experienced depression might say know feel remember everyone experience illness like depression differently empathy recognizing impact illness comparing symptom dont expert learning depression help understand whats going maybe dispel unhelpful myth around depression depression info sheet great place start list resource qa learn depression sometimes talking problem concern really helpin fact many people experience mood disorder say want heard important understand talking something difficult like experience depression hard loved one cannot force talk invite create safe quiet space talk loved one open listen activelythat without distraction like phone tv really pay attention say listen empathy without judgement even dont understand problem see problem different way main concern distress difficult feeling loved one experiencing find indepth tip listening communicating well module three family toolkit people ready talk everything thats okay respect loved one boundary let tell theyre ready talk even best intention unsolicited advice unhelpful likely cant fix problem may know whole story youd like share worked similar situation ask person would like talk strategy worked different people need different thingsdont assume know whats best people need emotional help like someone talk people may good relationship counsellor professional might need practical help like help around house help sticking treatment plan others may simply want included social event asking person need may also less tempted give advice people experience episode depression lot negative thought feeling take real toll others good idea seek support yourselfthere support group family member friend bc schizophrenia society directory family support group around bc mental illness loved one isnt happy treatment would like try different option also help seek different resource service find general advice ask u section heretohelp find local service call bc mental health support line area code email u important responsible loved one treatment unless loved one child support work towards recovery case loved one treatment recovery plan choiceyou offer support encouragement order treatment work loved one need actively involved forcing threatening treatment generally doesnt work hurt everyone involved case anyone year age older free make choice choice may include refusing treatment choosing treatment disagree important respectful keep honest communication open learn dealing situation ask u adult life seems ill wont find help loved one say thought ending life important take action call suicide time message online wwwcrisiscentrechatca noon think loved one immediate danger always call go hospital emergency room,5,443,True
someone love diagnosed schizophrenia help,naturally want help loved one isnt feeling well help may seem fairly obvious loved one experience physical health problem many people say theyre sure best help loved one experience mental illness like schizophrenia tip dont expert schizophrenia learning help understand whats going lot myth schizophrenia good idea find trustworthy resource schizophrenia info sheet great place start also find lot information bc schizophrenia society sometimes talking problem concern really help important understand talking something difficult like experience schizophrenia hard loved oneand symptom schizophrenia also make conversation difficult loved one open listen activelythat without distraction like phone tv really pay attention say give time finish thought even take bit longer usual listen empathy without judgement even dont understand problem see problem different way main concern distress difficult feeling loved one experiencing find indepth tip listening communicating well module three family toolkit people ready talk everything thats okay respect loved one boundary let tell theyre ready talk symptom schizophrenia like hallucination sensation arent real like hearing voice delusion belief cant true like believing followed spy take time stop even people receiving treatment following treatment plan group distressing symptom called psychosis many people hard time responding loved one hallucination delusion best avoid arguing experience remember delusion symptom schizophreniathey thought talk someone telling someone experience arent real arent true doesnt help experience feel real person better approach empathize feeling hallucination delusion bring upwithout confirming denying hallucination delusion example loved one frustrated upset hear voice isnt helpful say something like youre okay isnt real dont hear anything instead might say image upsetting voice must see voice make feel scared know good treatment support symptom like hallucination delusion become much easier people manage lose importance ask help people experience serious mental illness like schizophrenia may want plan take action start feel unwell especially dependent child plan advanced directive ulysses agreement made person feel well meant communicate wish loved one care team ask loved one plan place know need need help youd like learn planning care see bc schizophrenia society loved one experiencing episode psychosis recovering episode psychosis might need extra help example people actively experiencing hallucination delusion might need lot personal space feel uncomfortable around lot people even making eye contact people recovering episode psychosis may need quiet space lot rest sometimes people get back usual routine fairly quickly time may take lot time effort get back routine keep mind much help bit counterproductive may well faster easier take care loved one task chore rebuilding activity confidence big part recovery encourage support loved one take daily responsibility let tell need extra help schizophrenia difficult illnessfor everyone episode psychosis loved one may experience frightening sensation cant understand may act way dont understand symptom schizophrenia make hard people express emotion feeling communicate clearly seem interested others important know symptom illness one fault still hard cope consider reaching family friend support group support bc schizophrenia society directory group around bc wwwbcssorgmonthlymeetingscalendar family member important take care try maintain regular schedule activity exercise routine hobby ask another family member good friend provide help caregiving especially early day loved one illness need help balancing time selfcare caregiving duty check bc schizophrenia society family respite program try maintain friendship network people life later become important support loved one recovers educate update loved one recovery people sometimes afraid ask question schizophrenia put ease important responsible loved one treatment unless loved one child support schizophrenia make difficult people make go appointment follow treatment plan loved one permission may choose help reminding appointment taking appointment whatever help situation loved one isnt happy treatment would like try new approach encourage talk care team like doctor mental health teamit dangerous stop change treatment without doctor support treatment difficult area loved one hard see someone love pain might scared thing loved one experiencing want help order treatment work loved one need active care forcing threatening treatment generally doesnt work case emergency short time often hurt everyone involved case anyone year age older risk harm free make choice choice may include refusing treatment choosing treatment disagree help everyone respectful keep honest communication open learn dealing situation qa adult life seems ill wont find help think loved one risk harming others refuse help possible evaluated psychiatrist mental health act process may involve police first responder difficult stressful process everyone also necessary step someone danger learn mental health act info sheet family coping crisis find guide mental health act wwwhealthgovbccalibrarypublicationsyearmentalhealthguidepdf indepth discussion mental health act see video lawyer health law consultation gerrit clements loved one say thought ending life important take action call suicide time message online wwwcrisiscentrechatca noon think loved one immediate danger always call go hospital emergency room,5,768,False
im young person one parent mental illness,someone elses illness fault also cant control someone else feel illness thing say take care learning parent illness make bit easier understand experience website find easytoread booklet mental illness well longer info sheet many different mental illness also find information young people centre addiction mental health important take care lot people big mix feeling parent isnt well might feel angry embarrassed scared many thing feeling experience big impact way think people youre airplane flight attendant go safety demonstration tell put oxygen mask help people thats hard help someone else arent well program specifically young people kid control support group program bc schizophrenia society help child youth age understand mental illness cope challenge take care health wellbeing kid control currently available local branch branch order material work super saturday club cmha vancouverfraser free recreation group child youth age parent experience mental illness learn visit wwwvancouverfrasercmhabcca youre trouble coping something going home ask help place go teacher counsellor school adult trust like friend parent another family member kid help phone visit wwwkidshelpphoneca learn taking care chat counsellor call talk counsellor youthinbc visit wwwyouthinbccom chat trained volunteer noonam pacific time bc mental health support line ever need talk someone youd like see kind resource community call area code time,7,206,False
thought suicide someone care talking suicide,need talk someone arent sure help someone care call suicide time type concern using live chat like texting online wwwcrisiscentrechatca noon help suggest good local resource youre risk harm think someone else danger need help right call scary thought suicide hear someone care thought suicide thought suicide dont mean someone end life sign need extra help support thought suicide important talk doctor mental health service provider youre supporting someone else encourage seek help coping suicidal thought good resource help understand manage difficult feeling info sheet suicide information suicide helping someone else finding help suicide booklet audio plain language lower literacy reader centre suicide prevention many resource toolkits suicide different audience including people serving military young people teen older adult aboriginal community member lgbt community member,6,125,False
cannabis legally allowed doctor group saying potentially harmful age use certain use whats myth whats fact im parent tell young adult,using cannabis potential benefit harm young people use cannabis like psychoactive drug feel good feel better better explore trying cannabis curiosity experiment socializing friend related moderate use lower potential harm using cannabis cope daily life deal unpleasant feeling fit social group higher potential harm dealing kind issue associated frequent heavier use less thought potential harm little consideration alternative coping talking parent trusted adult physical activity friend evidence suggests younger person start using cannabis often use greater potential harm legal age use cannabis bc however brain finish developing age delaying cannabis use early adulthood may reduce potential harmful effect brain young people especially many factor predisposing serious persistent mental health issue probably use cannabis cannabis associated increased risk psychosis schizophrenia small group people people serious mental health issue also reported using cannabis helped cope illness helping feel less anxious stressed situation balancing potential benefit harm using cannabis key young people serious mental health concern mixing drug cannabis alcohol also increase possibility experiencing harm intoxication may intense long lasting young person may appreciate impaired often suggest much often safe context simple way gauge use psychoactive substance parent caring adult open respectful relationship young person one best resource way prevent harm substance use letting youth know approach time talk cannabis substance anything else concern say matter ready listen engage dialogue great place begin addressing anything might come young person way life canadian institute substance use research formerly carbc member bc partner mental health addiction information institute dedicated study substance use support communitywide effort aimed providing people access healthier life whether using substance visit wwwcisurca,21,261,False
whats difference mental health mental illness,mental health mental illness increasingly used mean thing everyone mental health like everyone health world health organization famously say health without mental health course lifetime people experience mental illness everyone struggle challenge mental wellbeing ie mental health like challenge physical wellbeing time time talk mental health talking mental wellbeing emotion thought feeling ability solve problem overcome difficulty social connection understanding world around u mental illness illness affect way people think feel behave interact others many different mental illness different symptom impact people life different way health isnt like onoff switch different degree health people move continuum ranging great good health soso health poor health illness disability example people good health problem going life people experience serious health problem poor health negative impact life people serious health problem last long time others serious health problem resolve quickly many people fall somewhere middletheyre generally good health though occasional problem may come mental health way someone feel unwell may serious illness people may poor mental health without mental illness day feel bit stressed overwhelmed something thats happening life important part good mental health ability look problem concern realistically good mental health isnt feeling happy confident time ignoring problem living coping well despite problem possible poor mental health mental illness entirely possible good mental health even diagnosis mental illness thats mental illness like health problem often episodic meaning time episode ill health time better good health right support tool anyone live wellhowever define welland find meaning contribute community work towards goal,6,247,False
find information depression,info sheet mood disorder bipolar disorder depression offer information mood problem treatment option resource bc also offer depression booklet audio plain language lower literacy reader take screening selftest depression mental health concern adult depression tool also screen sign bipolar disorder want go beyond basic managing depression series help deal diagnosis depression work doctor prevent relapse depression youll also find many experience perspective around depressionreading personal story help feel less alone,3,70,True
whats difference anxiety anxiety disorder,anxiety normal reaction many different kind event situation life anxiety one internal warning system alert u danger threat prepares body fight back get dangerous situation scientist call fight flight freeze response manageable amount anxiety time time helpful example motivate prepare test school finish task work even happy event like moving new home celebrating important milestone bring anxietyall part human anxiety problem becomes overwhelming unmanageable come unexpectedly anxiety disorder mental illness big impact life people may avoid going daily life order avoid anxiety may experience lot uncomfortable physical sensation physical health problem many people say know anxiety isnt based reality feel trapped thought feeling anxiety disorder treated important seek help youre concerned anxiety life normal anxiety related specific situation problem last long situation problemp proportional situation problemp realistic response realistic problem situationp someone experience anxiety disorder anxiety may come unexpectedly seemingly reason anxiety response situation problem may much stronger would expect may experience lot unrealistic anxiety fear situation likely never happen anxiety may last long time even situation problem resolved anxiety may feel impossible control manage may avoid situation thing believe trigger anxiety symptom here example normal anxiety anxiety disorder many people bit nervous flying totally normal reaction yet travel work get plane without problem someone anxiety disorder hand may able travel airporteven put job jeopardy formerly classified anxiety disorder currently classified trauma stressorrelated disorder formerly classified anxiety disorder currently classified obsessivecompulsive related disorder,5,233,True
whats difference anxiety stress,stress anxiety often used interchangeably overlap stress anxiety stress related fight flight freeze response anxiety physical sensation anxiety stress may similar cause stress anxiety usually different however stress focus mainly external pressure u finding hard cope stressed usually know stressed symptom stress typically disappear stressful situation anxiety hand isnt always easy figure anxiety focus worry fear thing could threaten u well anxiety anxiety stress anxiety part human problem last long time impact wellbeing daily life,4,75,True
whats difference sadness depression,sadness normal reaction loss disappointment problem difficult situation feeling sad time time another part human case feeling sadness go away quickly go daily life way talk sadness might feeling low feeling feeling blue person may say feeling depressed go away doesnt impact life big way probably isnt illness depression depression mental illness affect mood way understand way understand relate thing around also go different name clinical depression major depressive disorder major depression depression come reason last long time much sadness low mood people experience depression may feel worthless hopeless may feel unreasonable guilty people may experience depression anger irritability may hard concentrate make decision people lose interest thing used enjoy may isolate others also physical sign depression problem sleep appetite energy unexplainable ache pain may experience difficult thought death ending life suicide depression last longer two week doesnt usually go away impact life real illness treatable important seek help youre concerned depression,4,152,True
dysthymia persistent depressive disorder,dysthymia called persistent depressive disorder pdd mood disorder related depression major depressive disorder difference two number symptom amount time last someone diagnosed pdd would experience two four symptom least two year period wellness time someone diagnosed major depressive disorder would experience five symptom least two week symptom pdd include myth pdd severe illness major depressive disorder research show disability illness like ability work productively enjoy hobby may severe pdd major depressive disorder pdd involves smaller number symptom last long time many people begin assume pdd part personality rather illness effectively treated certainly talk doctor mental health professional think might pdd,4,100,False
cyclothymic disorder,cyclothymic disorder subtype bipolar disorder much like bipolar disorder symptom cyclothymia include three symptom hypomania five symptom depression like bipolar disorder people may experience wellness episode hypomania depression symptom hypomania include symptom depression include talk doctor mental health professional think might cyclothymic disorder,2,43,False
rapid cycling mean,rapid cycling mean someone diagnosed bipolar disorder depression experience four episode depression andor mania one year rapid cycling happen time someone experience bipolar disorderabout people diagnosed bipolar disorder experience rapid cycling point many case rapid cycling eventually go away people return pattern longer less frequent episode,3,46,False
find information help borderline personality disorder,borderline personality disorder bpd treatable illness made five group symptom around behaviour emotion relationship sense identity awareness read info sheet borderline personality disorder also entire issue vision journal bpd youll find information treatment support personal story people managing bpd living well borderline personality disorder society bc offer support group victoria resource library listing service bc vancouver dbt centre vancouver offer dialectical behaviour therapy dbt ad specializes helping people experience bpd offer individual group family counselling useful blog dbt skill several good helpful book available including,6,85,False
schizoid personality disorder,personality disorder pattern thought feeling behaviour last long time cause sort problem distress schizoid personality disorder spd affect social interaction relationship people spd may hard time relating others showing emotion may avoid close relationship prefer spend time alone seeming distant even close family member many people dont respond strong emotion like anger even others try provoke outside people spd may seem cold aloof showing little emotion similar name schizoid personality disorder isnt schizophrenia schizoid personality disorder believed relatively uncommon people spd may see part people may feel lot distress especially around social interaction medication may help people manage symptom psychotherapy may help people build new skill improve relationship find help schizoid personality disorder talk family doctor find psychologist bc psychological association call talk healthlink bc navigator,3,126,False
antisocial personality disorder,personality disorder pattern thought feeling behaviour last long time cause sort problem distress antisocial personality disorder aspd affect way people think right others someone aspd may disregard law expectation lack remorse hurt others break law make reckless decision believe superior others people may see someone aspd overly dramatic impulsive manipulative deceitful people may appear charming least surface like mental illness antisocial personality disorder spectrum people may occasionally act others may break law often spend lot time criminal justice system aspd diagnosed adult people aspd start problem conduct antisocial behaviour young age may diagnosed conduct disorder childhood treatment antisocial personality disorder usually psychotherapy help reduce harm aspd help people build empathy towards others aspd treatable may improve person approach middle age u hurt someone else acted without thinking others needed important remember antisocial personality disorder enduring pattern around lack empathy lack remorse doctor mental health professional diagnose illness like aspd find help antisocial personality disorder talk family doctor find psychologist bc psychological association call talk healthlink bc navigator,3,167,False
obsessivecompulsive personality disorder,personality disorder pattern thought feeling behaviour last long time cause sort problem distress obsessivecompulsive personality disorder ocpd control people ocpd inflexible thinking expect everything ordered perfect done correct way happens expense important thing life including relationship others work take priority every part life people ocpd may seem excessively dedicated may unable complete task due perfectionism may struggle delegate may distrust people contribution people ocpd may tolerate uncertainty may rigid understanding worldsomething either right wrong may also hard time spending money others may experience hoarding inability throw away item home conflict desire neatness order inability throw thing may cause lot anxiety obsessivecompulsive personality disorder obsessivecompulsive disorder ocd similar name illness people obsessivecompulsive disorder usually understand obsession compulsion illogical usually experience lot distress even though may able stop obsession compulsion compulsion attempt reduce anxiety find pleasure people obsessivecompulsive personality disorder may view thought part see thought logical may find pleasure benefit completing compulsive task may experience lot distress cant achieve control perfectionism want obsessivecompulsive personality disorder one common personality disorder treatment may include combination psychotherapy medication selfhelp strategy find help ocpd talk family doctor find psychologist bc psychological association call talk healthlink bc navigator,3,192,False
bingeeating disorder,bingeeating disorder bed type eating disorder involves episode eating lot food short amount time past point feeling full feeling control unable stop eating people experience bingeeating disorder may binge even dont feel hungry may feel temporarily comforted food feel depressed upset guilty ashamed eating result many people try keep bingeeating symptom secret cant tell someone experience bingeeating disorder way look way eat around others lot people experience eating much time feeling uncomfortable people experience bingeeating disorder experience many binge long period time bingeeating disorder treatable talk doctor mental health professional think might bingeeating disorder,2,94,False
whats difference dissociative identity disorder multiple personality disorder schizophrenia,sometimes people confuse dissociative identity disorder formerly known multiple personality disorder schizophrenia schizophrenia mean split mind name meant describe split reality experience episode psychosis well change thought emotion function dissociative identity disorder hand cause split fragmented understanding person sense dissociative identity disorder really fragmented identity many different personality develop people see different part part whole person people experience identity fragment may different characteristic including history identity mannerism key part dissociationfeeling detached world around people experience may many unexplainable gap memory forget information theyre already learned difficulty recalling thing theyve said done unlike portrayal tv movie may obvious others take lot time come diagnosis schizophrenia serious mental illness cause hallucination sensation arent real delusion belief cant possibly true addition symptom like jumbled thought jumbled speech difficulty expressing emotion people experience schizophrenia may hear feel thing arent real believe thing cant real arent separate identity,9,143,False
whats difference psychosis schizophrenia,psychosis syndrome group symptom someone experiencing episode psychosis break reality major symptom psychosis hallucination delusion hallucination sensation real hearing voice sound arent real hearing voice common hallucination hallucination experience sensehearing sight smell taste touch delusion strong belief cant possibly true common delusion include belief someone following monitoring belief extraordinary power ability symptom psychosis include difficulty concentrating completing task making decision thought may feel jumbled confused people hard time following conversation speaking clearly psychosis even affect way people move express emotion schizophrenia mental illness cause psychosis schizophrenia also symptom isnt cause psychosis case mental illness cause psychosis including depression bipolar disorder dementia borderline personality disorder psychosis may come time extreme stress major lack sleep trauma people using withdrawing certain drug medication may experience psychosis psychosis may also caused brain injury neurological problem health problem psychosis part schizophrenia caused many thing psychosis schizophrenia treatable important seek help soon possible,4,147,False
positive negative symptom,positive negative symptom medical term two group symptom schizophrenia positive symptom add positive symptom include hallucination sensation arent real delusion belief cant real repetitive movement hard control negative symptom take away negative symptom include inability show emotion apathy difficulty talking withdrawing social situation relationship also third group symptom usually called cognitive symptom includes anything related thinking disorganized thought memory problem difficulty focus attention,3,63,False
prodrome,prodrome medical term early sign symptom illness health problem appear major sign symptom start psychosis group symptom found disorder like schizophrenia one illness specific prodrome psychosis prodrome sign symptom start full symptom like hallucination delusion appear common symptom prodrome psychosis include symptom found many mental illness isnt always clear time prodrome psychosis schizophrenia something else best seek help whenever concerned mental health loved one mental health psychosis schizophrenia much easier manage treat treatment start early,1,75,False
im adult think might adhd next,think attentiondeficithyperactivity disorder illness affect child last adulthoodand people arent diagnosed much later life adhd diagnosed like mental illness family doctor good place start family doctor may able assess mental health start treatment needed may refer specialized mental health service organization help find good resource find support canadian attention deficit hyperactivity disorder resource alliance caddra organization support health professional research adhd treat support people diagnosed adhd train professional public info section website youll find information adult adhd assessment process youll also find extensive resource recommended publication centre adhd awareness canada provides education advocacy canadian experience adhd section website adult including information symptom assessment treatment adhd workplace resource reading list chadd vancouver offer monthly support group adult vancouver area,6,118,False
whats difference substance use addiction,people tend use word addiction mean different thing addicted shopping might mean speaker like shop hand addicted might mean speaker think person completely unable control behaviour people use word psychoactive mindaltering substance like alcohol tobacco drug often assume drug dangerous power control human behaviour evidence however suggests quite different picture substance use clearly contribute health social problem substance beneficial people situation many people celebrate special occasion nice glass wine example people use tobacco powerful symbol cultural spiritual ceremony fact substance used human throughout history many reason feel good feel better improve performance culturalspiritual reason new experience substance use complicated good bad helpful think substance use along continuum beneficial use harmful use along middle continuum substance use may beneficial harmful enjoyable night friend feel little ill next day far end continuum people develop dependencethey need continually use drug order feel normal keep using even lead financial difficulty problem home work health problem legal problem general substance use problem cause problem othersand much use cause problem different different people different situation reason person us substance influence risk developing problem instance person us substance fun occasional social use may follow person us substance cope longterm problem social anxiety long lasting intense use may follow managing risk involves aware using impact use around u wisdom ancestor suggests guiding principlenot much often safe context,5,219,False
